Experiment,1
Plot title,My experiment

Number of,2
plots

Number of,2001
points

Time,N,Square root of C at cutoff distance
0,5.59471,5.59471
0.1,5.63268,5.63264
0.2,5.67039,5.67031
0.3,5.70782,5.7077
0.4,5.74497,5.74481
0.5,5.78183,5.78163
0.6,5.8184,5.81816
0.7,5.85467,5.85439
0.8,5.89064,5.89032
0.9,5.92629,5.92594
1,5.96164,5.96125
1.1,5.99666,5.99624
1.2,6.03136,6.0309
1.3,6.06573,6.06523
1.4,6.09976,6.09923
1.5,6.13345,6.1329
1.6,6.1668,6.16622
1.7,6.19981,6.19919
1.8,6.23246,6.23181
1.9,6.26476,6.26408
2,6.29669,6.29599
2.1,6.32827,6.32754
2.2,6.35948,6.35872
2.3,6.39032,6.38954
2.4,6.42079,6.41999
2.5,6.45088,6.45006
2.6,6.4806,6.47976
2.7,6.50994,6.50908
2.8,6.53889,6.53802
2.9,6.56746,6.56657
3,6.59564,6.59474
3.1,6.62344,6.62253
3.2,6.65085,6.64993
3.3,6.67786,6.67693
3.4,6.70448,6.70355
3.5,6.73071,6.72978
3.6,6.75654,6.75561
3.7,6.78198,6.78105
3.8,6.80702,6.80609
3.9,6.83166,6.83074
4,6.85591,6.85499
4.1,6.87975,6.87885
4.2,6.9032,6.90231
4.3,6.92625,6.92538
4.4,6.9489,6.94805
4.5,6.97115,6.97032
4.6,6.993,6.99219
4.7,7.01445,7.01368
4.8,7.03551,7.03476
4.9,7.05617,7.05546
5,7.07643,7.07575
5.1,7.09629,7.09566
5.2,7.11576,7.11517
5.3,7.13484,7.1343
5.4,7.15352,7.15303
5.5,7.17181,7.17138
5.6,7.18972,7.18934
5.7,7.20723,7.20691
5.8,7.22435,7.2241
5.9,7.24109,7.24091
6,7.25744,7.25734
6.1,7.27341,7.27338
6.2,7.289,7.28905
6.3,7.30421,7.30435
6.4,7.31904,7.31927
6.5,7.33349,7.33382
6.6,7.34757,7.348
6.7,7.36128,7.36181
6.8,7.37462,7.37526
6.9,7.38759,7.38834
7,7.4002,7.40107
7.1,7.41244,7.41343
7.2,7.42432,7.42544
7.3,7.43585,7.43709
7.4,7.44702,7.4484
7.5,7.45783,7.45935
7.6,7.46829,7.46996
7.7,7.47841,7.48023
7.8,7.48817,7.49015
7.9,7.4976,7.49974
8,7.50668,7.50899
8.1,7.51543,7.51791
8.2,7.52383,7.52649
8.3,7.53191,7.53475
8.4,7.53965,7.54268
8.5,7.54707,7.55029
8.6,7.55416,7.55759
8.7,7.56093,7.56456
8.8,7.56738,7.57122
8.9,7.57352,7.57757
9,7.57933,7.58361
9.1,7.58484,7.58935
9.2,7.59004,7.59478
9.3,7.59494,7.59992
9.4,7.59953,7.60475
9.5,7.60382,7.60929
9.6,7.60781,7.61354
9.7,7.61151,7.61751
9.8,7.61492,7.62118
9.9,7.61804,7.62458
10,7.62087,7.62769
10.1,7.62342,7.63053
10.2,7.62569,7.63309
10.3,7.62768,7.63538
10.4,7.6294,7.6374
10.5,7.63084,7.63916
10.6,7.63202,7.64065
10.7,7.63293,7.64188
10.8,7.63358,7.64286
10.9,7.63396,7.64358
11,7.63409,7.64405
11.1,7.63396,7.64427
11.2,7.63358,7.64424
11.3,7.63296,7.64397
11.4,7.63208,7.64346
11.5,7.63096,7.64271
11.6,7.6296,7.64173
11.7,7.628,7.64051
11.8,7.62617,7.63907
11.9,7.6241,7.63739
12,7.6218,7.63549
12.1,7.61927,7.63337
12.2,7.61652,7.63103
12.3,7.61355,7.62847
12.4,7.61035,7.6257
12.5,7.60694,7.62272
12.6,7.60332,7.61952
12.7,7.59948,7.61612
12.8,7.59543,7.61252
12.9,7.59118,7.60871
13,7.58672,7.60471
13.1,7.58206,7.60051
13.2,7.5772,7.59611
13.3,7.57215,7.59153
13.4,7.5669,7.58675
13.5,7.56146,7.58179
13.6,7.55583,7.57664
13.7,7.55001,7.57131
13.8,7.54401,7.5658
13.9,7.53783,7.56012
14,7.53146,7.55426
14.1,7.52492,7.54822
14.2,7.51821,7.54202
14.3,7.51132,7.53565
14.4,7.50427,7.52911
14.5,7.49705,7.52241
14.6,7.48966,7.51554
14.7,7.48211,7.50852
14.8,7.4744,7.50134
14.9,7.46653,7.49401
15,7.4585,7.48652
15.1,7.45032,7.47889
15.2,7.44199,7.4711
15.3,7.43351,7.46317
15.4,7.42489,7.4551
15.5,7.41612,7.44688
15.6,7.40721,7.43853
15.7,7.39815,7.43004
15.8,7.38896,7.42141
15.9,7.37964,7.41264
16,7.37018,7.40375
16.1,7.36059,7.39473
16.2,7.35087,7.38558
16.3,7.34102,7.3763
16.4,7.33105,7.3669
16.5,7.32095,7.35738
16.6,7.31074,7.34774
16.7,7.3004,7.33798
16.8,7.28995,7.3281
16.9,7.27939,7.31812
17,7.26871,7.30802
17.1,7.25792,7.29781
17.2,7.24702,7.28749
17.3,7.23602,7.27706
17.4,7.22491,7.26653
17.5,7.2137,7.2559
17.6,7.20239,7.24517
17.7,7.19098,7.23434
17.8,7.17947,7.22341
17.9,7.16787,7.21238
18,7.15617,7.20127
18.1,7.14439,7.19006
18.2,7.13252,7.17876
18.3,7.12055,7.16737
18.4,7.10851,7.15589
18.5,7.09638,7.14433
18.6,7.08417,7.13269
18.7,7.07188,7.12096
18.8,7.05951,7.10915
18.9,7.04706,7.09727
19,7.03454,7.08531
19.1,7.02195,7.07327
19.2,7.00929,7.06116
19.3,6.99656,7.04898
19.4,6.98376,7.03673
19.5,6.9709,7.02441
19.6,6.95797,7.01202
19.7,6.94498,6.99957
19.8,6.93193,6.98705
19.9,6.91882,6.97448
20,6.90566,6.96184
20.1,6.89244,6.94914
20.2,6.87916,6.93638
20.3,6.86583,6.92356
20.4,6.85246,6.9107
20.5,6.83903,6.89777
20.6,6.82556,6.8848
20.7,6.81204,6.87177
20.8,6.79848,6.8587
20.9,6.78487,6.84558
21,6.77123,6.83241
21.1,6.75754,6.8192
21.2,6.74382,6.80594
21.3,6.73006,6.79264
21.4,6.71626,6.77931
21.5,6.70243,6.76593
21.6,6.68857,6.75251
21.7,6.67468,6.73906
21.8,6.66076,6.72557
21.9,6.64681,6.71205
22,6.63284,6.69849
22.1,6.61884,6.6849
22.2,6.60482,6.67129
22.3,6.59077,6.65764
22.4,6.57671,6.64396
22.5,6.56262,6.63026
22.6,6.54852,6.61654
22.7,6.5344,6.60279
22.8,6.52026,6.58901
22.9,6.50611,6.57522
23,6.49195,6.5614
23.1,6.47777,6.54757
23.2,6.46358,6.53372
23.3,6.44939,6.51985
23.4,6.43518,6.50596
23.5,6.42097,6.49206
23.6,6.40675,6.47814
23.7,6.39253,6.46422
23.8,6.37831,6.45028
23.9,6.36408,6.43633
24,6.34985,6.42237
24.1,6.33562,6.4084
24.2,6.32139,6.39442
24.3,6.30716,6.38044
24.4,6.29294,6.36646
24.5,6.27872,6.35246
24.6,6.2645,6.33847
24.7,6.25029,6.32447
24.8,6.23609,6.31047
24.9,6.2219,6.29647
25,6.20771,6.28247
25.1,6.19354,6.26848
25.2,6.17937,6.25448
25.3,6.16522,6.24049
25.4,6.15108,6.2265
25.5,6.13695,6.21251
25.6,6.12284,6.19854
25.7,6.10874,6.18456
25.8,6.09466,6.1706
25.9,6.08059,6.15664
26,6.06654,6.14269
26.1,6.05252,6.12876
26.2,6.03851,6.11483
26.3,6.02452,6.10091
26.4,6.01055,6.08701
26.5,5.9966,6.07312
26.6,5.98268,6.05924
26.7,5.96877,6.04538
26.8,5.9549,6.03153
26.9,5.94104,6.01769
27,5.92721,6.00388
27.1,5.91341,5.99008
27.2,5.89963,5.9763
27.3,5.88588,5.96253
27.4,5.87216,5.94879
27.5,5.85847,5.93506
27.6,5.8448,5.92136
27.7,5.83117,5.90767
27.8,5.81756,5.89401
27.9,5.80398,5.88037
28,5.79044,5.86675
28.1,5.77693,5.85316
28.2,5.76345,5.83959
28.3,5.75,5.82604
28.4,5.73658,5.81252
28.5,5.7232,5.79902
28.6,5.70985,5.78555
28.7,5.69654,5.7721
28.8,5.68326,5.75869
28.9,5.67002,5.7453
29,5.65681,5.73193
29.1,5.64364,5.7186
29.2,5.6305,5.70529
29.3,5.61741,5.69201
29.4,5.60435,5.67877
29.5,5.59132,5.66555
29.6,5.57834,5.65236
29.7,5.56539,5.6392
29.8,5.55248,5.62608
29.9,5.53961,5.61298
30,5.52678,5.59992
30.1,5.51399,5.58689
30.2,5.50124,5.57389
30.3,5.48853,5.56093
30.4,5.47586,5.548
30.5,5.46323,5.5351
30.6,5.45065,5.52224
30.7,5.4381,5.50941
30.8,5.42559,5.49661
30.9,5.41313,5.48385
31,5.4007,5.47112
31.1,5.38832,5.45843
31.2,5.37598,5.44578
31.3,5.36369,5.43316
31.4,5.35143,5.42057
31.5,5.33922,5.40803
31.6,5.32705,5.39552
31.7,5.31493,5.38304
31.8,5.30285,5.3706
31.9,5.29081,5.3582
32,5.27881,5.34584
32.1,5.26686,5.33352
32.2,5.25495,5.32123
32.3,5.24308,5.30898
32.4,5.23125,5.29675
32.5,5.21945,5.28456
32.6,5.20768,5.2724
32.7,5.19594,5.26026
32.8,5.18423,5.24814
32.9,5.17255,5.23605
33,5.16089,5.22398
33.1,5.14925,5.21193
33.2,5.13763,5.19989
33.3,5.12603,5.18788
33.4,5.11446,5.17589
33.5,5.1029,5.16391
33.6,5.09137,5.15195
33.7,5.07986,5.14002
33.8,5.06836,5.1281
33.9,5.05689,5.1162
34,5.04544,5.10432
34.1,5.03402,5.09247
34.2,5.02261,5.08063
34.3,5.01122,5.06881
34.4,4.99985,5.05701
34.5,4.98851,5.04523
34.6,4.97718,5.03347
34.7,4.96588,5.02173
34.8,4.95459,5.01001
34.9,4.94332,4.9983
35,4.93207,4.98662
35.1,4.92084,4.97495
35.2,4.90963,4.9633
35.3,4.89843,4.95167
35.4,4.88726,4.94005
35.5,4.8761,4.92846
35.6,4.86496,4.91688
35.7,4.85384,4.90532
35.8,4.84273,4.89378
35.9,4.83165,4.88226
36,4.82059,4.87077
36.1,4.80955,4.85929
36.2,4.79853,4.84783
36.3,4.78752,4.83639
36.4,4.77654,4.82498
36.5,4.76558,4.81358
36.6,4.75464,4.8022
36.7,4.74372,4.79085
36.8,4.73282,4.77952
36.9,4.72194,4.7682
37,4.71108,4.75691
37.1,4.70025,4.74565
37.2,4.68943,4.7344
37.3,4.67863,4.72317
37.4,4.66786,4.71197
37.5,4.65711,4.70079
37.6,4.64637,4.68963
37.7,4.63566,4.67849
37.8,4.62497,4.66737
37.9,4.61431,4.65628
38,4.60366,4.64521
38.1,4.59304,4.63416
38.2,4.58244,4.62314
38.3,4.57186,4.61214
38.4,4.5613,4.60116
38.5,4.55076,4.5902
38.6,4.54025,4.57927
38.7,4.52976,4.56836
38.8,4.51929,4.55748
38.9,4.50884,4.54661
39,4.49842,4.53577
39.1,4.48801,4.52495
39.2,4.47763,4.51416
39.3,4.46727,4.50338
39.4,4.45693,4.49264
39.5,4.44661,4.48191
39.6,4.43632,4.47121
39.7,4.42605,4.46053
39.8,4.4158,4.44988
39.9,4.40558,4.43925
40,4.39537,4.42864
40.1,4.3852,4.41806
40.2,4.37504,4.40751
40.3,4.36491,4.39697
40.4,4.3548,4.38647
40.5,4.34472,4.37598
40.6,4.33465,4.36553
40.7,4.32462,4.35509
40.8,4.3146,4.34469
40.9,4.30461,4.3343
41,4.29465,4.32395
41.1,4.28471,4.31361
41.2,4.27479,4.30331
41.3,4.26489,4.29302
41.4,4.25502,4.28277
41.5,4.24518,4.27253
41.6,4.23536,4.26233
41.7,4.22556,4.25214
41.8,4.21579,4.24199
41.9,4.20604,4.23186
42,4.19631,4.22175
42.1,4.18661,4.21167
42.2,4.17693,4.20161
42.3,4.16728,4.19158
42.4,4.15765,4.18158
42.5,4.14804,4.1716
42.6,4.13846,4.16164
42.7,4.1289,4.15171
42.8,4.11937,4.14181
42.9,4.10986,4.13193
43,4.10038,4.12208
43.1,4.09092,4.11225
43.2,4.08149,4.10245
43.3,4.07208,4.09268
43.4,4.06269,4.08293
43.5,4.05333,4.0732
43.6,4.04399,4.0635
43.7,4.03468,4.05383
43.8,4.02539,4.04418
43.9,4.01613,4.03456
44,4.00689,4.02496
44.1,3.99767,4.01539
44.2,3.98848,4.00584
44.3,3.97931,3.99632
44.4,3.97017,3.98683
44.5,3.96105,3.97736
44.6,3.95196,3.96792
44.7,3.94289,3.9585
44.8,3.93385,3.9491
44.9,3.92483,3.93974
45,3.91583,3.93039
45.1,3.90686,3.92108
45.2,3.89791,3.91179
45.3,3.88899,3.90252
45.4,3.88009,3.89328
45.5,3.87122,3.88406
45.6,3.86237,3.87487
45.7,3.85354,3.86571
45.8,3.84474,3.85657
45.9,3.83596,3.84745
46,3.8272,3.83836
46.1,3.81847,3.82929
46.2,3.80976,3.82025
46.3,3.80108,3.81123
46.4,3.79241,3.80224
46.5,3.78378,3.79327
46.6,3.77516,3.78433
46.7,3.76657,3.77541
46.8,3.758,3.76651
46.9,3.74945,3.75764
47,3.74093,3.74879
47.1,3.73243,3.73997
47.2,3.72395,3.73117
47.3,3.7155,3.72239
47.4,3.70707,3.71364
47.5,3.69866,3.70491
47.6,3.69027,3.6962
47.7,3.68191,3.68752
47.8,3.67356,3.67886
47.9,3.66524,3.67023
48,3.65695,3.66162
48.1,3.64867,3.65303
48.2,3.64042,3.64446
48.3,3.63219,3.63592
48.4,3.62398,3.6274
48.5,3.6158,3.61891
48.6,3.60764,3.61044
48.7,3.5995,3.60199
48.8,3.59138,3.59356
48.9,3.58328,3.58516
49,3.57521,3.57678
49.1,3.56715,3.56842
49.2,3.55912,3.56009
49.3,3.55111,3.55177
49.4,3.54312,3.54349
49.5,3.53516,3.53522
49.6,3.52721,3.52697
49.7,3.51929,3.51875
49.8,3.51138,3.51055
49.9,3.5035,3.50237
50,3.49564,3.49422
50.1,3.48781,3.48608
50.2,3.47999,3.47797
50.3,3.47219,3.46988
50.4,3.46442,3.46181
50.5,3.45666,3.45377
50.6,3.44893,3.44574
50.7,3.44122,3.43774
50.8,3.43353,3.42976
50.9,3.42586,3.4218
51,3.41821,3.41387
51.1,3.41058,3.40595
51.2,3.40297,3.39806
51.3,3.39538,3.39018
51.4,3.38781,3.38233
51.5,3.38027,3.3745
51.6,3.37274,3.36669
51.7,3.36523,3.35891
51.8,3.35775,3.35114
51.9,3.35028,3.34339
52,3.34284,3.33567
52.1,3.33541,3.32797
52.2,3.32801,3.32029
52.3,3.32062,3.31262
52.4,3.31326,3.30498
52.5,3.30591,3.29736
52.6,3.29859,3.28976
52.7,3.29128,3.28219
52.8,3.28399,3.27463
52.9,3.27673,3.26709
53,3.26948,3.25957
53.1,3.26225,3.25208
53.2,3.25505,3.2446
53.3,3.24786,3.23714
53.4,3.24069,3.22971
53.5,3.23354,3.22229
53.6,3.22641,3.21489
53.7,3.21929,3.20752
53.8,3.2122,3.20016
53.9,3.20513,3.19282
54,3.19807,3.1855
54.1,3.19104,3.17821
54.2,3.18402,3.17093
54.3,3.17702,3.16367
54.4,3.17004,3.15643
54.5,3.16308,3.14921
54.6,3.15614,3.14201
54.7,3.14921,3.13483
54.8,3.14231,3.12767
54.9,3.13542,3.12053
55,3.12855,3.1134
55.1,3.1217,3.1063
55.2,3.11487,3.09921
55.3,3.10806,3.09215
55.4,3.10126,3.0851
55.5,3.09448,3.07807
55.6,3.08772,3.07106
55.7,3.08098,3.06407
55.8,3.07426,3.0571
55.9,3.06755,3.05014
56,3.06086,3.04321
56.1,3.05419,3.03629
56.2,3.04754,3.02939
56.3,3.0409,3.02251
56.4,3.03428,3.01565
56.5,3.02768,3.00881
56.6,3.0211,3.00198
56.7,3.01453,2.99517
56.8,3.00798,2.98838
56.9,3.00145,2.98161
57,2.99493,2.97486
57.1,2.98843,2.96812
57.2,2.98195,2.9614
57.3,2.97549,2.9547
57.4,2.96904,2.94802
57.5,2.96261,2.94135
57.6,2.9562,2.93471
57.7,2.9498,2.92808
57.8,2.94342,2.92146
57.9,2.93705,2.91487
58,2.93071,2.90829
58.1,2.92438,2.90173
58.2,2.91806,2.89518
58.3,2.91176,2.88866
58.4,2.90548,2.88215
58.5,2.89921,2.87565
58.6,2.89296,2.86918
58.7,2.88673,2.86272
58.8,2.88051,2.85628
58.9,2.87431,2.84985
59,2.86813,2.84344
59.1,2.86196,2.83705
59.2,2.8558,2.83068
59.3,2.84967,2.82432
59.4,2.84354,2.81798
59.5,2.83744,2.81165
59.6,2.83134,2.80534
59.7,2.82527,2.79905
59.8,2.81921,2.79277
59.9,2.81316,2.78651
60,2.80714,2.78027
60.1,2.80112,2.77404
60.2,2.79512,2.76783
60.3,2.78914,2.76163
60.4,2.78317,2.75545
60.5,2.77722,2.74929
60.6,2.77128,2.74314
60.7,2.76536,2.73701
60.8,2.75945,2.73089
60.9,2.75355,2.72479
61,2.74768,2.7187
61.1,2.74181,2.71263
61.2,2.73596,2.70658
61.3,2.73013,2.70054
61.4,2.72431,2.69452
61.5,2.7185,2.68851
61.6,2.71271,2.68252
61.7,2.70694,2.67654
61.8,2.70117,2.67058
61.9,2.69543,2.66463
62,2.68969,2.6587
62.1,2.68397,2.65278
62.2,2.67827,2.64688
62.3,2.67258,2.64099
62.4,2.6669,2.63512
62.5,2.66124,2.62926
62.6,2.65559,2.62342
62.7,2.64996,2.61759
62.8,2.64434,2.61178
62.9,2.63873,2.60598
63,2.63314,2.6002
63.1,2.62756,2.59443
63.2,2.622,2.58868
63.3,2.61645,2.58294
63.4,2.61091,2.57721
63.5,2.60538,2.5715
63.6,2.59987,2.56581
63.7,2.59438,2.56012
63.8,2.58889,2.55446
63.9,2.58342,2.5488
64,2.57797,2.54316
64.1,2.57252,2.53754
64.2,2.56709,2.53193
64.3,2.56168,2.52633
64.4,2.55627,2.52075
64.5,2.55088,2.51518
64.6,2.54551,2.50962
64.7,2.54014,2.50408
64.8,2.53479,2.49855
64.9,2.52945,2.49304
65,2.52413,2.48754
65.1,2.51881,2.48205
65.2,2.51351,2.47658
65.3,2.50823,2.47112
65.4,2.50295,2.46568
65.5,2.49769,2.46024
65.6,2.49244,2.45482
65.7,2.48721,2.44942
65.8,2.48199,2.44403
65.9,2.47677,2.43865
66,2.47158,2.43328
66.1,2.46639,2.42793
66.2,2.46122,2.42259
66.3,2.45606,2.41727
66.4,2.45091,2.41196
66.5,2.44577,2.40666
66.6,2.44065,2.40137
66.7,2.43554,2.3961
66.8,2.43044,2.39084
66.9,2.42535,2.38559
67,2.42027,2.38036
67.1,2.41521,2.37514
67.2,2.41016,2.36993
67.3,2.40512,2.36473
67.4,2.40009,2.35955
67.5,2.39508,2.35438
67.6,2.39008,2.34922
67.7,2.38509,2.34408
67.8,2.38011,2.33895
67.9,2.37514,2.33383
68,2.37018,2.32872
68.1,2.36524,2.32363
68.2,2.36031,2.31854
68.3,2.35539,2.31347
68.4,2.35048,2.30842
68.5,2.34558,2.30337
68.6,2.34069,2.29834
68.7,2.33582,2.29332
68.8,2.33095,2.28831
68.9,2.3261,2.28332
69,2.32126,2.27833
69.1,2.31643,2.27336
69.2,2.31162,2.2684
69.3,2.30681,2.26345
69.4,2.30201,2.25852
69.5,2.29723,2.25359
69.6,2.29246,2.24868
69.7,2.2877,2.24378
69.8,2.28295,2.2389
69.9,2.27821,2.23402
70,2.27348,2.22916
70.1,2.26876,2.2243
70.2,2.26405,2.21946
70.3,2.25936,2.21464
70.4,2.25467,2.20982
70.5,2.25,2.20501
70.6,2.24534,2.20022
70.7,2.24069,2.19544
70.8,2.23604,2.19067
